symbol,name,market_cap,address,price_usd
WRX,WRX/USDT,,,
XAUT,XAUT/USD,,0x68749665ff8d2d112fa859aa293f07a622782f38,
XAUT,XAUT/USDT,,0x68749665ff8d2d112fa859aa293f07a622782f38,
XRP,XRP/BTC,,,
XRP,XRP/JPY,,,
XRP,XRP/USD,,,
XRP,XRP/USDT,,,
YFI,YFI/BTC,,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
YFI,YFI/USD,,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
YFI,YFI/USDT,,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,
YFII,YFII/USD,,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,
YGG,YGG/USD,,0x25f8087ead173b73d6e8b84329989a8eea16cf73,
ZM,ZM/USD,,,
ZRX,ZRX/USD,,0xe41d2489571d322189246dafa5ebde1f4699f498,
ADABEAR,ADABEAR/USD,,0xb3299d4bab93bf04d5b11bc49cd6dfad1f77d23f,
ADABULL,ADABULL/USD,,0x43de1145cd22f0a9cc99e51c205e6e81161df6b9,
ADAHALF,ADAHALF/USD,,,
ADAHEDGE,ADAHEDGE/USD,,,
ALGOBEAR,ALGOBEAR/USD,,,
ALGOBULL,ALGOBULL/USD,,,
ALGOHALF,ALGOHALF/USD,,,
ALGOHEDGE,ALGOHEDGE/USD,,0xfdc3d57eb7839ca68a2fad7a93799c8e8afa61b7,
ALTBEAR,ALTBEAR/USD,,0x90b417ab462440cf59767bcf72d0d91ca42f21ed,
ALTBULL,ALTBULL/USD,,0xd829664cdbf3195b2ce76047a65de29e7ed0a9a8,
ALTHALF,ALTHALF/USD,,,
ALTHEDGE,ALTHEDGE/USD,,,
ASDBEAR,ASDBEAR/USD,,,
ASDBEAR,ASDBEAR/USDT,,,
ASDBULL,ASDBULL/USD,,,
ASDBULL,ASDBULL/USDT,,,
ASDHALF,ASDHALF/USD,,,
ASDHEDGE,ASDHEDGE/USD,,,
ATOMBEAR,ATOMBEAR/USD,,,
ATOMBULL,ATOMBULL/USD,,0x75f0038b8fbfccafe2ab9a51431658871ba5182c,
ATOMHALF,ATOMHALF/USD,,,
ATOMHEDGE,ATOMHEDGE/USD,,,
BALBEAR,BALBEAR/USD,,,
BALBEAR,BALBEAR/USDT,,,
BALBULL,BALBULL/USD,,,
BALBULL,BALBULL/USDT,,,
BALHALF,BALHALF/USD,,,
BALHEDGE,BALHEDGE/USD,,,
BCHBEAR,BCHBEAR/USD,,0xa9fc65da36064ce545e87690e06f5de10c52c690,
BCHBEAR,BCHBEAR/USDT,,0xa9fc65da36064ce545e87690e06f5de10c52c690,
BCHBULL,BCHBULL/USD,,0x4c133e081dfb5858e39cca74e69bf603d409e57a,
BCHBULL,BCHBULL/USDT,,0x4c133e081dfb5858e39cca74e69bf603d409e57a,
BCHHALF,BCHHALF/USD,,,
BCHHEDGE,BCHHEDGE/USD,,0x02e88a689fdfb920e7aa6174fb7ab72add3c5694,
BEAR,BEAR/USD,,0x016ee7373248a80bde1fd6baa001311d233b3cfa,
BEAR,BEAR/USDT,,0x016ee7373248a80bde1fd6baa001311d233b3cfa,
BEARSHIT,BEARSHIT/USD,,0x48dee19c81b89a9ab473361bae7a19210f2deaa4,
BNBBEAR,BNBBEAR/USD,,,
BNBBEAR,BNBBEAR/USDT,,,
BNBBULL,BNBBULL/USD,,0x9d1a62c2ad99019768b9126fda004a9952853f6e,
BNBBULL,BNBBULL/USDT,,0x9d1a62c2ad99019768b9126fda004a9952853f6e,
BNBHALF,BNBHALF/USD,,,
BNBHEDGE,BNBHEDGE/USD,,0x2840ad41cf25ad58303ba24c416e79dce4161b4f,
BSVBEAR,BSVBEAR/USD,,0xce49c3c92b33a1653f34811a9d7e34502bf12b89,
BSVBEAR,BSVBEAR/USDT,,0xce49c3c92b33a1653f34811a9d7e34502bf12b89,
BSVBULL,BSVBULL/USD,,0x6e13a9e4ae3d0678e511fb6d2ad531fcf0e247bf,
BSVBULL,BSVBULL/USDT,,0x6e13a9e4ae3d0678e511fb6d2ad531fcf0e247bf,
BSVHALF,BSVHALF/USD,,,
BSVHEDGE,BSVHEDGE/USD,,,
BULL,BULL/USD,,0x68eb95dc9934e19b86687a10df8e364423240e94,
BULL,BULL/USDT,,0x68eb95dc9934e19b86687a10df8e364423240e94,
BULLSHIT,BULLSHIT/USD,,0xd06b25f67a17f12b41f615b34d87ecd716ff55a0,
BVOL,BVOL/USD,,0x81824663353a9d29b01b2de9dd9a2bb271d298cd,
COMPBEAR,COMPBEAR/USD,,,
COMPBEAR,COMPBEAR/USDT,,,
COMPBULL,COMPBULL/USD,,,
COMPBULL,COMPBULL/USDT,,,
COMPHALF,COMPHALF/USD,,,
COMPHEDGE,COMPHEDGE/USD,,,
DEFIBEAR,DEFIBEAR/USD,,,
DEFIBEAR,DEFIBEAR/USDT,,,
DEFIBULL,DEFIBULL/USD,,,
DEFIBULL,DEFIBULL/USDT,,,
DEFIHALF,DEFIHALF/USD,,,
DEFIHEDGE,DEFIHEDGE/USD,,,
DOGEBEAR2021,DOGEBEAR2021/USD,,,
