symbol,price_usd,name,market_cap,decimals,address
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xd5c1d87d9a28918db3d64f207387f969658a4dc6
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xcc686b8b4b217576bfc0a0b4d744335b813a8e10
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xcb540613811e784f822b79d51e60bee92009b4b9
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xc96f7a9c937663c91a09401b8b0b512957d0b1a2
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x14d73c3159bc29164c3060a7a4e3d72dce928730
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x851523a36690bf267bbfec389c823072d82921a9
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xc2ad78196d8a956fe41e5bdf17a53725e92cc856
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x1daa2f2273eedb8a5d270ad69daf975f2f21da91
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xb08b2921963c73521b536fe33072ce5bf75e7d33
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xacf318f56fa1d35b5e47dfbf47bb183ac3b3a7e4
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xa7f1820fa29157486e652df4869b07323a641b3d
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x9f1ac9cee0bf48e7a6739aaa1118c090fcc7e0f5
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x9c7e593922a141ff59d421f57a0b9730b48f53dd
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x9bd567851d654161741467dd39643ebbe374443e
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x879c41ca7e01734446f21382f83fb3e3dffe55f2
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x2d8141cb8f86923145e1076cccc3eed8e914c5e0
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x32296969ef14eb0c6d29669c550d4a0449130230
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x939fdd1e910f47401766463e483ddeef00db62a9
